canonical_smiles,y_pred
CC1=CC(=CC=C2C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C2)[N+]2=C1C(c1ccc(C#N)cc1)=c1c(C)cc(=CC=C3C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C3)n1[B-]2(F)F,1
CCC1=C(C=Cc2ccc(O)cc2)C2=C(c3ccc(C(=O)OC)cc3)c3c(C)c(CC)c(C=Cc4ccc(O)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(O)cc1,1
CC1=CC2=C(c3ccc(C=C(C#N)C(=O)O)cc3)c3cc(C)c(C=Cc4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)s4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,1
CCOC(=O)c1ccc(C=CC2=[N+]3C(=C(c4ccco4)c4ccc(C=Cc5ccc(C(=O)OCC)o5)n4[B-]3(F)F)C=C2)o1,1
CCOC(=O)c1ccc(C=CC2=[N+]3C(=C(c4cccs4)c4ccc(C=Cc5ccc(C(=O)OCC)o5)n4[B-]3(F)F)C=C2)o1,1
CCOC(=O)c1ccc(C=CC2=[N+]3C(=C(c4ccc[se]4)c4ccc(C=Cc5ccc(C(=O)OCC)o5)n4[B-]3(F)F)C=C2)o1,1
CCOC(=O)c1ccc(C=CC2=[N+]3C(=C(c4ccc(I)o4)c4ccc(C=Cc5ccc(C(=O)OCC)o5)n4[B-]3(F)F)C=C2)o1,1
CCOC(=O)c1ccc(C=CC2=[N+]3C(=C(c4ccc(I)o4)c4ccc(C=Cc5ccc(C(=O)OCC)o5)n4[B-]3(F)F)C=C2I)o1,1
Cc1cc(C)c(C2=C3C=C(c4ccc(N(C)C)cc4)C=[N+]3[B-](F)(F)n3cc(-c4ccc(N(C)C)cc4)cc32)c(C)c1,1
O=C(O)c1ccc(-c2c3cc4c5c(c3oc3c2ccc2cc(=O)ccc23)CCCN5CCC4)c(C(=O)O)c1,1
CCc1c(CC)c2n(c1C)[B-](F)(F)[N+]1=Cc3cc4c(cc3C1=C2)C(C)=[N+]1C4Cc2c(CC)c(CC)c(C)n2[B-]1(F)F,1
CC1=[N+]2C(Cc3c4ccccc4c(C)n3[B-]2(F)F)c2cc3c(cc21)C1=Cc2c4ccccc4c(C)n2[B-](F)(F)[N+]1=C3,1
COc1ccc(-c2ccc(C3=[N+]4C(=C(c5c(C)cccc5C)c5ccc(-c6ccc(-c7ccc(OC)cc7)s6)n5[B-]4(F)F)C=C3c3ccc4c(=O)[nH][nH]c(=O)c4c3)s2)cc1,1
