canonical_smiles,y_pred,mol,SAS,MW
CN(C)c1ccc2cc(C=CC=C(C#N)C(=O)OCCO)ccc2c1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F25F0>,2.6262740933195,336.391
CN(C)c1ccc2cc(C=CC=C(C#N)C(=O)OCCOCCO)ccc2c1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F2660>,2.697574633270257,380.44400000000013
Nc1ccc2c(c1)Cc1c-2[o+]c2c(c1-c1ccccc1)Cc1cc(N)ccc1-2,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F2890>,3.0184615784337705,363.44000000000017
COc1ccccc1-c1c2c([o+]c3c1Cc1cc(N)ccc1-3)-c1ccc(N)cc1C2,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F2900>,3.079789682605565,393.4660000000001
Nc1ccc2c(c1)CCc1c-2[o+]c2c(c1-c1ccccc1)CCc1cc(N)ccc1-2,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F29E0>,2.990876829940987,391.4940000000002
CCN(CC)c1ccc(C=CC2=CC(=C(C#N)C#N)CC(C)(C)C2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F2E40>,3.066923720232892,345.4900000000001
C[n+]1ccc(C=CC=Cc2cccc(-c3nc4ccccc4s3)c2O)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F3120>,2.8337368673881684,371.48500000000007
CC[n+]1cccc2oc(C=CC=Cc3ccc(N(C)C)cc3)nc21,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F32E0>,3.0534970180368397,320.41600000000005
Cc1ccc2oc(C=CC=Cc3ccc(N(C)C)cc3)[n+](C)c2c1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F3350>,2.792787102632552,319.42800000000005
CN(C)c1ccc(C=CC=Cc2sc3ccccc3[n+]2C)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F33C0>,2.6637978149318755,321.46900000000005
CN(C)c1ccc(C=CC=CC=Cc2sc3ccccc3[n+]2C)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F3430>,2.8216146977151038,347.50700000000006
